Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Woodbury,1031923,619947000013,Tito's Vodka Liter,22149,12,2.0,218.0,436.0,
Blaine,1031799,619947000020,Tito's Vodka 750ml,1923946,12,3.0,174.0,522.0,
Bloomington,1031808,619947000020,Tito's Vodka 750ml,1923946,12,1.0,174.0,174.0,
Chanhassen,1031815,619947000020,Tito's Vodka 750ml,1923946,12,1.0,174.0,174.0,
Osseo,1031850,619947000020,Tito's Vodka 750ml,1923946,12,1.0,174.0,174.0,
Rosemount,1031874,619947000020,Tito's Vodka 750ml,1923946,12,1.0,174.0,174.0,
Roseville,1031881,619947000020,Tito's Vodka 750ml,1923946,12,1.0,174.0,174.0,
Woodbury,1031923,619947000020,Tito's Vodka 750ml,1923946,12,2.0,174.0,348.0,
Blaine,1031799,619947000037,Tito's Vodka 1.75L,22221,6,7.0,163.89,1147.23,
Bloomington,1031808,619947000037,Tito's Vodka 1.75L,22221,6,2.0,163.89,327.78,
Chanhassen,1031815,619947000037,Tito's Vodka 1.75L,22221,6,5.0,163.89,819.45,
Ramsey,1031866,619947000037,Tito's Vodka 1.75L,22221,6,2.0,163.89,327.78,
Rosemount,1031874,619947000037,Tito's Vodka 1.75L,22221,6,3.0,163.89,491.67,
Roseville,1031881,619947000037,Tito's Vodka 1.75L,22221,6,3.0,163.89,491.67,
Woodbury,1031923,619947000037,Tito's Vodka 1.75L,22221,6,7.0,163.89,1147.23,
Bloomington,1031808,619947000044,Tito's Vodka 200ml,1174140,24,1.0,124.23,124.23,
Woodbury,1031923,619947000044,Tito's Vodka 200ml,1174140,24,1.0,124.23,124.23,
Blaine,1031799,619947000051,Tito's Vodka 375ml,1182218,12,1.0,99.0,99.0,
Rosemount,1031874,619947000051,Tito's Vodka 375ml,1182218,12,1.0,99.0,99.0,
Roseville,1031881,619947000051,Tito's Vodka 375ml,1182218,12,1.0,99.0,99.0,
Woodbury,1031923,619947000051,Tito's Vodka 375ml,1182218,12,1.0,99.0,99.0,
