Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Blaine,1030557,083120957072,Tribuno Dry Vermouth 750ml,422223,12,1.0,63.96,63.96,
Chanhassen,1030389,084687001017,Erath Pinot Noir 750ml,645794,12,1.0,128.0,128.0,
St. Louis Park,1030676,084704000290,Korbel Brandy PET 1.75L,423531,6,1.0,116.95,116.95,
Woodbury,1030704,084704000290,Korbel Brandy PET 1.75L,423531,6,1.0,116.95,116.95,
Blaine,1030557,085676563868,Calypso Spiced Rum 1.75L,247680,6,1.0,63.0,63.0,
Blaine,1030557,085676565015,Calypso Silver Rum 1.75L,353368,6,1.0,63.0,63.0,
Andover,1030354,086003000087,Woodbridge Chardonnay 750ml,646785,12,1.0,48.0,48.0,
Stillwater,1030507,086003000506,Woodbridge Merlot 1.5L,21867,6,1.0,56.0,56.0,
Chanhassen,1030389,086003001657,Woodbridge Pinot Grigio 1.5L,638586,6,1.0,56.0,56.0,
St. Louis Park,1030497,086003001657,Woodbridge Pinot Grigio 1.5L,638586,6,1.0,56.0,56.0,
Vadnais Heights,1030516,086003001657,Woodbridge Pinot Grigio 1.5L,638586,6,1.0,56.0,56.0,
Woodbury,1030529,086003001657,Woodbridge Pinot Grigio 1.5L,638586,6,3.0,56.0,168.0,
Blaine,1030370,086003003408,Woodbridge Pinot Noir 1.5L,132095,6,1.0,56.0,56.0,
Roseville,1030482,086003255142,The Prisoner Cabernet Sauvignon 750ml,513696,12,0.5,472.0,236.0,Store Request
Blaine,1030557,086003272026,Mi Campo Tequila Blanco Liter,921561,6,1.0,108.0,108.0,
Blaine,1030557,086003272071,Mi Campo Tequila Reposado 375ml,586933,12,1.0,120.0,120.0,
Andover,1030354,086003813854,Woodbridge Cab Sauv 1.5L,87007,6,1.0,56.0,56.0,
Blaine,1030370,086003813854,Woodbridge Cab Sauv 1.5L,87007,6,2.0,56.0,112.0,
Cottage Grove,1030397,086003813854,Woodbridge Cab Sauv 1.5L,87007,6,2.0,56.0,112.0,
Minneapolis,1030409,086003813854,Woodbridge Cab Sauv 1.5L,87007,6,1.0,56.0,56.0,
Vadnais Heights,1030516,086003813854,Woodbridge Cab Sauv 1.5L,87007,6,1.0,56.0,56.0,
Andover,1030354,086003820449,Woodbridge Red Blend 1.5L,449655,6,1.0,56.0,56.0,
St. Louis Park,1030497,086003820449,Woodbridge Red Blend 1.5L,449655,6,2.0,56.0,112.0,
Chanhassen,1030389,086003863866,Woodbridge Sauv Blanc 1.5L,638591,6,1.0,56.0,56.0,
Plymouth,1030440,086003863866,Woodbridge Sauv Blanc 1.5L,638591,6,1.0,56.0,56.0,
Andover,1030354,086003873889,Woodbridge Chardonnay 1.5L,97438,6,2.0,56.0,112.0,
Blaine,1030370,086003873889,Woodbridge Chardonnay 1.5L,97438,6,2.0,56.0,112.0,
Chanhassen,1030389,086003873889,Woodbridge Chardonnay 1.5L,97438,6,10.0,56.0,560.0,
Cottage Grove,1030397,086003873889,Woodbridge Chardonnay 1.5L,97438,6,1.0,56.0,56.0,
Minneapolis,1030409,086003873889,Woodbridge Chardonnay 1.5L,97438,6,1.0,56.0,56.0,
Rosemount,1030459,086003873889,Woodbridge Chardonnay 1.5L,97438,6,1.0,56.0,56.0,
St. Louis Park,1030497,086003873889,Woodbridge Chardonnay 1.5L,97438,6,4.0,56.0,224.0,
Andover,1030354,086003903920,Woodbridge Light Oak Chardonna 1.5L,191263,6,1.0,56.0,56.0,
Blaine,1030370,086003903920,Woodbridge Light Oak Chardonna 1.5L,191263,6,1.0,56.0,56.0,
Cottage Grove,1030397,086003903920,Woodbridge Light Oak Chardonna 1.5L,191263,6,1.0,56.0,56.0,
St. Louis Park,1030497,086003903920,Woodbridge Light Oak Chardonna 1.5L,191263,6,1.0,56.0,56.0,
Minneapolis,1030596,086036100198,Christian Brothers Brandy 50ml,958647,120,1.0,113.4,113.4,
Roseville,1030474,086036124590,Christian Bros Dry Sherry 750ml,048282,12,2.0,62.0,124.0,
Rosemount,1030647,086036707045,Christian Brothers Brandy Traveler,578173,12,1.0,89.5,89.5,
Vadnais Heights,1030697,086036707045,Christian Brothers Brandy Traveler,578173,12,1.0,89.5,89.5,
Andover,1030544,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
Blaine,1030557,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
Rosemount,1030647,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
Roseville,1030659,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
St. Louis Park,1030676,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
Stillwater,1030688,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
