upc,Department,Retail,GM %,Deal,Deal Unit Cost,Unit Cost
811538018920,Spirits,13.1,1310,77.52,,
811538019156,Spirits,13.1,1310,77.52,,
811538016445,Spirits,13.1,1310,77.52,,
850010806303,Spirits,21.29,2129,126.25,,
608604000497,Spirits,25.04,2504,148.75,,
757347279094,Spirits,5.01,501,59,,
757347279056,Spirits,5.01,501,59,,
80686294016,Spirits,25.43,2543,151.5,,
80686294023,Spirits,15.1,1510,196.5,,0.05
80686294030,Spirits,0.68,68,64,,
857566003019,Spirits,11.97,1197,142.5,,
88076188808,Spirits,21.02,2102,125,,
88076188815,Spirits,21.02,2102,125,,
88076188822,Spirits,21.02,2102,125,,
84279008165,Spirits,29.18,2918,203,,0.0
84279007991,Spirits,75.37,7537,451.1,,
84279007748,Spirits,75.37,7537,451.1,,
22523133287,Spirits,13.0,1300,12,,
85592138591,Spirits,12.05,1205,143.76,,
818844026335,Spirits,39.93,3993,238.5,,0.0
818844026342,Spirits,28.85,2885,172,,0.01
833597009633,Spirits,20.42,2042,243.5,,
895412001079,Spirits,32.62,3262,194.25,,
895412001130,Spirits,30.25,3025,180,,
895412001093,Spirits,32.62,3262,194.25,,
895412001000,Spirits,27.17,2717,160,,
895412001109,Spirits,32.62,3262,194.25,,
869921000014,Spirits,17.12,1712,121.5,,0.04
869921000021,Spirits,17.12,1712,121.5,,0.04
869921000007,Spirits,17.12,1712,121.5,,0.04
7503021376022,Spirits,32.6,3260,194.79,,
195893687015,Spirits,18.88,1888,112.5,,
195893031092,Spirits,22.63,2263,135,,
89000118359,Spirits,10.05,1005,119.75,,
89000118373,Spirits,5.03,503,120,,
89000118397,Spirits,0.61,61,72.1,,
89000118311,Spirits,1.01,101,47.75,,
990012961812,Spirits,40.4,4040,39.6,,
88004026455,Spirits,0.67,67,79.2,,
88004034221,Spirits,0.67,67,79.2,,
88004040529,Spirits,0.67,67,79.2,,
88004035877,Spirits,4.79,479,114.13,,
88004076672,Spirits,0.61,61,72.1,,
80660620053,Spirits,10.05,1005,119.75,,
80660620992,Spirits,0.61,61,72.1,,
80660118079,Spirits,5.03,503,120,,
89000620104,Spirits,1.01,101,47.75,,
80660113609,Spirits,10.05,1005,119.75,,
80660113692,Spirits,0.61,61,72.1,,
89000515950,Spirits,10.05,1005,119.75,,
89000515998,Spirits,0.61,61,72.1,,
88004039660,Spirits,0.61,61,72.1,,
88004076665,Spirits,0.61,61,72.1,,
80660010120,Spirits,1.01,101,47.75,,
80660010083,Spirits,10.05,1005,119.75,,
80660010113,Spirits,0.61,61,72.1,,
88004045418,Spirits,0.61,61,72.1,,
88004076689,Spirits,0.61,61,72.1,,
80660113722,Spirits,10.05,1005,119.75,,
80660113760,Spirits,0.61,61,72.1,,
89000993154,Spirits,0.61,61,72.1,,
88004045456,Spirits,0.61,61,72.1,,
89000992119,Spirits,1.01,101,47.75,,
89000990771,Spirits,10.05,1005,119.75,,
89000990764,Spirits,0.61,61,72.1,,
89000990740,Spirits,2.87,287,137,,
89000990757,Spirits,5.03,503,120,,
88004039677,Spirits,0.61,61,72.1,,
