Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
Paranubes Oaxaca Rum,856847004455,Liquor,Rum,Liter,6, ,Winebow (Grape Beginnings), ,ALL,37,222,234,50.99,,0.2743675230437341,222,222,30196799,60.99,51.96,0,,0.3,222,,,,June 1 Update
Parker's Heritage Collection,096749001774,Liquor,,750ml,3,Heaven Hill,Bellboy Corporation,,ALL,66.33333333333333,199,198,85.99,,0.2285924719928674,198,198,8377164,,,,,0.3,198,,,,
Parker's Heritage Kentucky Straight Rye,096749002610,Liquor,,750ml,3,Heaven Hill,Bellboy Corporation,,ALL,107,321,320,138.99,,0.23016044319735238,320,320,8377154,,,,,0.3,320,,,,
PARKERS HERITAGE MALT WSKY 14YR107,096749005468,Liquor,Whisky/Whiskey,750ml,3,Heaven Hill,Southern Wine & Spirits,4 - 3PKS,ALL,127.76,383.28000000000003,382.48,165.99,,0.23031507922163988,382.48,382.48,635445,9999.99,0,0,,0.3,382.48,,,,
PARKERS HERITAGE RYE WSKY 10Y128.8,096749004744,Liquor,Whisky/Whiskey,750ml,3,Heaven Hill,Southern Wine & Spirits,3cs allocation,ALL,139.01000000000002,417.03000000000003,427.48,184.99,,0.2485539758905886,416.23,416.23,603873,9999.99,0,0,,0.3,416.23,,,,
Parkers Heritage Whiskey 11 Year 750ml,096749005802,Liquor,Bourbon,750ml,3,Heaven Hill,Southern Wine & Spirits,,ALL,135.26000000000002,405.78000000000003,404.98,174.99,199.99,0.3236661833091654,404.98,404.98,661914,9999.99,0,0,,0.3,404.98,,,,
Parrot Bay Passion Fruit Rum,088004037086,Liquor,Rum,750ml,6,Sazerac,Breakthru Beverage,,ALL,10.683333333333335,64.10000000000001,62.95,13.99,,0.23635930426495103,62.95,,9422880,13.99,0,0,,0.3,62.95,,,,
Partida Anejo Tequila,701530512505,Liquor,Agave,750ml,6,MHW LTD - LUCAS BOLS USA,Breakthru Beverage,,ALL,47.44166666666666,284.65,283.5,60.99,,0.2221402415696563,283.5,,550541,59.99,0,0,,0.3,283.5,,,,
Partida Blanco Tequila,701530510501,Liquor,Agave,750ml,6,MHW LTD - LUCAS BOLS USA,Breakthru Beverage,,ALL,30.191666666666666,181.15,180,38.99,,0.22565615114986753,180,,550145,39.99,0,0,,0.3,180,,,,
Partida Reposado Tequila,701530511508,Liquor,Agave,750ml,6,MHW LTD - LUCAS BOLS USA,Breakthru Beverage,,ALL,33.94166666666667,203.65,202.5,43.99,42.96,0.2099239602731222,202.5,,550343,43.99,42.96,0,,0.3,202.5,,,,
