Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Orange Crush 2L,Mixes,Pepsi-Cola,12,0.6,19.3,2.6,3.49,26,2,11,Andover:12
Bubbl'r Pitaya Berry 12oz can,Mixes,Pepsi-Cola,8,0.6,12.5,1.12,1.49,25,3,7,Stillwater:8
Mountain Dew Kickstart Pineapple Orange 16oz can,Mixes,Pepsi-Cola,11,0.6,18.6,1.47,1.89,22,2,10,Cottage Grove:11
Cone Silicone Bottle Stoppers,Accessories,"True Brands, Inc.",67,0.6,105.1,3.39,6.99,51,3,7,Minneapolis:1;Vadnais Heights:4;Chanhassen:7;Plymouth:8;Rosemount:8;Roseville:9;Cottage Grove:10;Blaine:20
Coves Mocktails Juicy Pineapple & Lime 4pk 12oz can,Mixes,Mindy Gray,46,0.6,75.8,6.01,11.49,48,3,6,Andover:1;Chanhassen:5;Osseo:6;Rosemount:6;Ramsey:9;Vadnais Heights:9;Stillwater:10
True Party Colorful Straws (Set of 100),Accessories,"True Brands, Inc.",2,0.6,3.4,1.99,4.49,56,2,10,Minneapolis:2
Propel Watermelon 20oz,Mixes,Pepsi-Cola,1,0.6,1.6,1.67,2.29,27,3,7,Cottage Grove:1
Liquid Death Dead Billionaire 19.2oz can,Mixes,"College City Beverage, Inc.",7,0.6,12.2,1.8,2.49,28,3,5,Woodbury:7
Kocktails by Kickles Traditional Marg Mix 32oz,Mixes,Old World Canning Company,19,0.6,33.0,7.07,11.49,38,3,5,Blaine:7;St. Louis Park:8;Roseville:11
"Long Bamboo Appetizer Picks 7""",Accessories,"True Brands, Inc.",45,0.6,78.2,1.62,3.49,54,3,5,Cottage Grove:3;Plymouth:6;Rosemount:6;Blaine:6;Andover:11;Roseville:13
La Croix Lemon 8pk 12oz can,Mixes,,3,0.6,5.2,4.17,4.99,16,3,5,Blaine:3
True Party Lil Pinks Shot Cups (Set of 20),Accessories,"True Brands, Inc.",2,0.6,3.4,1.91,4.49,57,2,10,Minneapolis:2
Can Cooler,Accessories,"M Amundson, LLP",10,0.6,17.4,1.25,2.99,58,3,5,Woodbury:10
Fever Tree Ginger Beer 500ml,Mixes,"Breakthru Beverage Minnesota Beer, LLC",22,0.6,36.3,1.88,4.99,62,3,6,Woodbury:6;Minneapolis:16
Fever Tree Elderflower Tonic 500ml,Mixes,Southern Glazer's Wine & Spirits of MN,10,0.6,16.5,2.23,4.99,55,3,6,Woodbury:3;Roseville:7
TrueBlade Bottle Opener Matte Black,Accessories,"True Brands, Inc.",48,0.6,75.3,2.58,4.49,43,3,7,Roseville:8;Plymouth:11;Stillwater:13;Vadnais Heights:16
