Supplier,Average of Price,Average of Sale Price,Buy Month,Product Code,Average of Price A,Item Classification
"New France Wine Co, Inc",15.990000000000004,0,,3760080098522,12.960000000000006,
,24.990000000000006,,,859978005070,0,
,20.990000000000002,,,859978005032,0,
Small Lot MN,36.99,,,767749006945,0,
"Bourget Imports, LLC",20.990000000000002,,,400000017211,0,
Small Lot MN,17.990000000000002,,,9351518000008,0,
Rue 38 LLC,19.990000000000002,0,,3342512142104,17.960000000000004,
Southern Glazer's Wine & Spirits of MN,47.99,,,853098005002,39.96,
,199.98999999999995,,,400000042770,174.96,
Southern Glazer's Wine & Spirits of MN,6.989999999999998,,,012354089990,0,
Phillips Wine & Spirits - St. Paul,11.990000000000002,,,012354081857,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",11.49,0,,898756001064,9.960000000000004,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",11.49,,,898756001040,9.960000000000004,
The Wine Company,24.990000000000006,,,689076090414,0,
The Wine Company,13.990000000000002,,,8437008409115,0,
,13.990000000000002,,,082896048175,0,
,8.989999999999998,,,08560203,0,
Johnson Brothers - St. Paul,12.990000000000002,,,08531104,0,
Johnson Brothers - St. Paul,12.990000000000002,,,08598604,0,
Johnson Brothers - St. Paul,12.990000000000002,,,08565208,0,
"New France Wine Co, Inc",29.990000000000006,,,5541603302018,0,
,19.990000000000002,,,851645004218,0,
,19.990000000000002,,,851645004096,0,
,20.771250000000002,,,098709300606,0.934375,
,15.990000000000004,,,012086008276,0,
Libation Project,20.990000000000002,0,,6009835630783,17.960000000000004,
Libation Project,18.990000000000002,5.54625,,8437015724485,15.960000000000006,
Bellboy Corporation,11.990000000000002,,,722358411108,0,
Oxford Street Merchants,23.552500000000006,,,852530002050,19.583125,Luke 750ml
Oxford Street Merchants,22.052500000000006,0.81,,852530002111,18.078749999999996,Luke 750ml
,14.990000000000004,,,878678000338,0,
Phillips Wine & Spirits - St. Paul,17.990000000000002,,,814617007037,0,
,28.990000000000006,,,097985287007,0,
The Wine Company,21.990000000000006,,,017151933026,0,
,28.990000000000006,,,089819705993,0,
The Wine Company,24.240000000000006,0,,089419377125,20.022499999999997,
Johnson Brothers - St. Paul,41.99,,,085000008973,0,
Phillips Wine & Spirits - St. Paul,6.989999999999998,,,084279976426,0,
Oxford Street Merchants,17.990000000000002,,,853562002117,0,
,22.990000000000006,,,8027079021196,0,
"Bourget Imports, LLC",26.802500000000006,,,8012377000165,1.2475,
The Wine Company,25.990000000000006,0,,748789111202,21.959999999999997,
,27.990000000000006,,,857958003245,0,
,34.99,,,400000013343,0,
,29.990000000000006,,,400000009926,0,
,30.990000000000006,0,,400000011929,2.49375,
,44.99,0,,400000015538,1.871875,
Johnson Brothers - St. Paul,17.990000000000002,,,085000015926,0,
The Wine Company,45.99,0,,814829022729,37.96,
The Wine Company,20.990000000000002,0,,815992010070,17.960000000000004,
"New France Wine Co, Inc",27.990000000000006,0,,897523421463,22.959999999999997,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",13.789999999999994,0,,089819158027,11.960000000000004,Matua Valley Sauv Blanc 750ml
"New France Wine Co, Inc",19.990000000000002,,,835603002621,16.960000000000004,
Southern Glazer's Wine & Spirits of MN,18.990000000000002,,,858018007029,15.960000000000006,
,25.990000000000006,,,787263315521,0,
Southern Glazer's Wine & Spirits of MN,19.990000000000002,0,"March, June, September, December",086003251359,16.960000000000004,Meiomi 750ml
The Wine Company,39.99,,,705105170275,0,
"New France Wine Co, Inc",99.99,,,8437001132102,0,
Southern Glazer's Wine & Spirits of MN,20.990000000000002,,,087241881094,0,
The Wine Company,26.240000000000006,0,,784585019113,22.080624999999998,
,10.99,,,857151003226,0,
,10.99,0,,857151003219,0,
Paustis Wine,13.990000000000002,,,896280001086,0,
Johnson Brothers - St. Paul,11.990000000000002,,,086003124004,0,
Johnson Brothers - St. Paul,25.990000000000006,,,086395521009,21.959999999999997,
"Maverick Beverage Co., LLC - MN",33.99,,,4930127090157,0,
,90.365,,,9336975000020,79.96000000000001,
,99.74,,,9336975000013,79.96000000000001,
"Maverick Beverage Co., LLC - MN",25.240000000000006,,,811203090589,21.959999999999997,
Rue 38 LLC,11.990000000000002,,,015643000188,0,
,21.990000000000006,,,715126000116,0,
"Grape Beginnings, Inc.",17.990000000000002,,,833302002515,0,
Libation Project,28.677500000000006,,,195893926060,23.895624999999995,
"Bourget Imports, LLC",30.490000000000006,0,,715897008137,25.584374999999994,
"New France Wine Co, Inc",35.49,,,614019600481,29.959999999999994,
Southern Glazer's Wine & Spirits of MN,13.990000000000002,,,088586007194,0,
"Grape Beginnings, Inc.",11.990000000000002,,,898981000054,0,
,149.99,,,400000016139,0,
"Tradition Wine & Spirits, LLC",24.865000000000006,,,400000021591,19.96,
Southern Glazer's Wine & Spirits of MN,14.990000000000004,,,087752015988,12.960000000000006,
Southern Glazer's Wine & Spirits of MN,14.990000000000004,,,087752015995,12.960000000000006,
Southern Glazer's Wine & Spirits of MN,10.99,,,083417007022,0,
The Wine Company,19.990000000000002,,,615503050126,0,
Southern Glazer's Wine & Spirits of MN,54.99,,,084692614899,0,
The Wine Company,37.99,0,,747846637501,31.959999999999994,
The Wine Company,30.490000000000006,,,747846697505,26.959999999999994,
"Maverick Beverage Co., LLC - MN",29.240000000000006,,,8028167000123,2.49375,
Phillips Wine & Spirits - St. Paul,21.990000000000006,,,870731000019,0,
Phillips Wine & Spirits - St. Paul,27.990000000000006,,,870731000057,0,
Oxford Street Merchants,89.99,,,636595207755,74.96000000000001,
,19.990000000000002,,,672321000191,0,
Libation Project,23.990000000000006,,,672321000306,0,
"Maverick Beverage Co., LLC - MN",31.990000000000006,,,6002462000899,0,
"Breakthru Beverage Minnesota Wine & Spirits, LLC",13.789999999999994,,,085798038824,11.960000000000004,
Oxford Street Merchants,89.99,0,,081753801823,74.96000000000001,
Oxford Street Merchants,55.99,,,081753801441,0,
"Grape Beginnings, Inc.",120.74,,,098709088627,99.96000000000002,
Southern Glazer's Wine & Spirits of MN,54.365,,,088586003899,42.77187500000001,
"Tradition Wine & Spirits, LLC",9.99,,,684586013021,0,
"Tradition Wine & Spirits, LLC",9.99,,,684586013007,0,
The Wine Company,15.990000000000004,,,089419577037,0,
,10.99,,,850147006133,0,
Southern Glazer's Wine & Spirits of MN,53.99,,,088586000256,0,
,19.990000000000002,,,690604000393,0,
The Wine Company,27.990000000000006,,,895991002214,0,
"Grape Beginnings, Inc.",17.990000000000002,1.6942857142857142,,805109187016,0,
"Bourget Imports, LLC",65.115,,,400000017228,59.334375000000016,
,27.990000000000006,,,506086,0,
,402.4899999999999,,,753604062164,349.96,
Johnson Brothers - St. Paul,398.7399999999999,,,753604062195,346.83437499999997,
Small Lot MN,18.990000000000002,,,5605891042099,0,
"New France Wine Co, Inc",24.990000000000006,0,,664841019043,20.96,
Paustis Wine,12.958750000000002,,,839728006847,10.960000000000004,Our Daily 750ml
Paustis Wine,12.115000000000002,,,791784901736,10.583750000000006,Our Daily 750ml
,14.990000000000004,,,6002400000073,0,
,29.615000000000006,,,6002400000011,1.246875,
"New France Wine Co, Inc",63.99,,,857680001953,0,
"Maverick Beverage Co., LLC - MN",29.990000000000006,,,855741002062,0,
Paustis Wine,5.739999999999999,,,4901061378427,4.959999999999999,
Oxford Street Merchants,14.990000000000004,0,,082544009046,12.457500000000003,
Oxford Street Merchants,26.771250000000006,,,087752014547,23.708124999999995,
The Wine Company,25.990000000000006,,,9421005520071,21.959999999999997,
"Bourget Imports, LLC",12.990000000000002,,,328855013199,0,
,99.99,,,400000006130,0,
,12.990000000000002,,,086828000170,0,
,13.990000000000002,,,086828000255,0,
,21.990000000000006,,,400000090153,0,
Libation Project,39.74,,,8417111000102,28.404999999999994,
,30.990000000000006,,,400000000794,2.495,
Small Lot MN,34.99,,,767749016128,29.959999999999994,
The Wine Company,8.989999999999998,0,,787202000174,7.708749999999998,
,14.990000000000004,,,796238011016,0,
,39.99,,,012354071766,0,
,350.6149999999999,,,012354071254,299.96,
"Bourget Imports, LLC",20.865000000000002,0,,097871013918,17.835000000000004,
Southern Glazer's Wine & Spirits of MN,9.99,,,017444000220,8.960000000000004,
Southern Glazer's Wine & Spirits of MN,87.115,,,852832105053,62.021875000000016,
,14.990000000000004,,,086785170022,0,
,109.99,,,3370896004084,0,
,109.99,,,3370896003094,0,
Libation Project,17.427500000000002,0,,854657002937,14.458750000000004,
The Wine Company,65.0525,,,3490920000117,54.96000000000001,
,12.990000000000002,,,648977730324,0,
"New France Wine Co, Inc",17.958750000000002,,,812153010375,6.545000000000002,
,15.990000000000004,,,9337402002655,0,
"Grape Beginnings, Inc.",19.990000000000002,0,,026612510263,16.960000000000004,
"New France Wine Co, Inc",15.865000000000004,,,400000003528,12.960000000000006,
The Wine Company,27.990000000000006,,,093532005025,25.959999999999994,
"Bourget Imports, LLC",20.990000000000002,,,703432000814,0,
Johnson Brothers - St. Paul,10.99,,,086003004917,0,
,39.99,,,018138568286,0,
Phillips Wine & Spirits - St. Paul,35.49,0,,087752019207,29.959999999999994,
,12.990000000000002,,,8027625004086,0,
,21.990000000000006,,,098709086906,0,
