Retail Price,Club Price (Anchor),20% Off Retail,$ Savings,Savings,0.95,REG PRICE
805.99,671.96,644.792,27.168000000000006,0.04043097803440682,671.95,805.99
807.99,672.96,646.392,26.567999999999984,0.039479315263908674,672.95,807.99
808.99,673.96,647.192,26.76800000000003,0.03971749065226427,673.95,808.99
809.99,674.96,647.9920000000001,26.96799999999996,0.039954960293943284,674.95,809.99
810.99,675.96,648.792,27.168000000000006,0.04019172732114327,675.95,810.99
811.99,676.96,649.5920000000001,27.367999999999938,0.040427794847553676,676.95,811.99
813.99,677.96,651.192,26.76800000000003,0.03948315534839818,677.95,813.99
814.99,678.96,651.9920000000001,26.96799999999996,0.03971957110875451,678.95,814.99
815.99,679.96,652.792,27.168000000000006,0.03995529148773458,679.95,815.99
816.99,680.96,653.5920000000001,27.367999999999938,0.04019031954887209,680.95,816.99
817.99,681.96,654.392,27.567999999999984,0.04042465833773239,681.95,817.99
819.99,682.96,655.9920000000001,26.96799999999996,0.039486939205809944,682.95,819.99
820.99,683.96,656.792,27.168000000000006,0.03972162114743553,683.95,820.99
821.99,684.96,657.5920000000001,27.367999999999938,0.0399556178462975,684.95,821.99
822.99,685.96,658.392,27.567999999999984,0.040188932299259406,685.95,822.99
823.99,686.96,659.192,27.76800000000003,0.04042156748573429,686.95,823.99
825.99,687.96,660.792,27.168000000000006,0.03949066806209664,687.95,825.99
826.99,688.96,661.5920000000001,27.367999999999938,0.039723641430561916,688.95,826.99
827.99,689.96,662.392,27.567999999999984,0.039955939474752136,689.95,827.99
828.99,690.96,663.192,27.76800000000003,0.04018756512678017,690.95,828.99
829.99,691.96,663.9920000000001,27.96799999999996,0.04041852130180929,691.95,829.99
831.99,692.96,665.5920000000001,27.367999999999938,0.0394943431078272,692.95,831.99
