upc,Item,Department
198715222210,Lolli Cherry Cola 10mg THC 6pk 12oz can,THC
198715680713,Lolli Grape Soda 10mg THC 6pk 12oz can,THC
198715205510,Lolli Orange Soda 10mg THC 6pk 12oz can,THC
860010381632,Pamos Spritz Bellini 10mg THC 4pk 12oz can,THC
197644347049,Pamos Spritz Bellini 5mg THC 4pk 12oz can,THC
860010381656,Pamos Spritz Long Island 10mg THC 4pk 12oz can,THC
197644304943,Pamos Spritz Long Island 5mg THC 4pk 12oz can,THC
860010381649,Pamos Spritz Mai Tai 10mg  THC 4pk 12oz can,THC
197644301317,Pamos Spritz Mai Tai 5mg THC 4pk 12oz can,THC
198168299159,Pamos Spritz Margarita 10mg THC 4pk 12oz can,THC
198168873779,Pamos Spritz Margarita 5mg THC 4pk 12oz can,THC
198715321258,Pamos Spritz Ranch Water 10mg THC 4pk 12oz can,THC
198715357837,Pamos Spritz Ranch Water 5mg THC 4pk 12oz can,THC
726665891370,Pharos Black Cherry 5mg THC 4pk 12oz can,THC
726665891400,Pharos Blood Orange Lime 5mg THC 4pk 12oz can,THC
726665891394,Pharos Mango 5mg THC 4pk 12oz can,THC
726665891387,Pharos Raspberry Lemonade 5mg THC 4pk 12oz can,THC
608275528061,Sprinkle CHILL 5mg THC Mix 10 Pack,THC
608275528092,Sprinkle CHILL 5mg THC Mix Single,THC
608275528054,Sprinkle GO 5mg THC Mix 10 Pack,THC
608275528085,Sprinkle GO 5mg THC Mix Single,THC
608275528078,Sprinkle SLEEP 5mg THC Mix 10 Pack,THC
721352813802,Sprinkle SLEEP 5mg THC Mix Single,THC
850047998286,Superior Seltzer Black Cherry Lemon 10mg THC 4pk 12oz can,THC
850047998064,Superior Seltzer Lemon Lime 10 mg THC 4pk 12oz can,THC
850047998354,Superior Seltzer Orange Citrus 10mg THC 4pk 12oz can,THC
850047998507,Superior Seltzer Transfusion 10mg THC 4pk 12oz can,THC
850000320529,Blackstack Real Trees THC Blackberry Lemonade 4pk 16oz can,THC
850000320246,Blackstack Real Trees THC Blood Orange 4pk 16oz can,THC
850000320413,Blackstack Real Trees THC Straw Kiwi 4pk 16oz can,THC
197644309047,Brez Double 5mg THC 12oz can,THC
860012187980,Brez Single 2.5mg THC 4pk 7.5oz can,THC
197644087846,Brez Single 2.5mg THC 7.5oz can,THC
850063284646,Minny Grown Highbernate Sleepy Time Tonic 10mg THC,THC
860009438002,Minny Grown Skol! 10 Pack,THC
80516121741,Florio Dry Marsala,Wine
80516121765,Florio Dry Marsala,Wine
80516121246,Florio Sweet Marsala,Wine
80516121260,Florio Sweet Marsala,Wine
89744755391,Folonari Pinot Grigio BIB,Wine
89744755407,Folonari Pinot Noir BIB,Wine
89744761118,Folonari Toscana Rosso BIB,Wine
87000302006,Gundlach Bundschu Mayacamas Cu,Wine
87000304024,Gundlach Bundschu Sonoma Valley Merlot,Wine
689076036580,HdV Chardonnay 2018,Wine
400000005904,J Davies Ferrington Pinot Noir,Wine
853336005030,Social Coconut Almond Sake,Wine
853336005115,Social Elderflower Apple Sake,Wine
853336005016,Social Hibiscus Cucumber Sake,Wine
853336005061,Social Pink Grapefruit,Wine
728028416213,Carlos Creek Calisota,Wine
455449,Carlos Creek Port,Wine
715826501036,Ravenswood Cab Sauv Vintners,Wine
715826102967,Ravenswood Lodi Old Vine Zin,Wine
715826106903,Ravenswood Zen of Zin,Wine
84279972886,St Gabriel Riesling,Wine
84279980980,St Gabriel Riesling,Wine
85000002193,Turning Leaf Cab Sauv,Wine
85000002490,Turning Leaf Cab Sauv,Wine
85000002209,Turning Leaf Chardonnay,Wine
8523901,Turning Leaf Chardonnay,Wine
85000002230,Turning Leaf Merlot,Wine
85000002698,Turning Leaf Merlot,Wine
85000010389,Turning Leaf Pinot Grigio,Wine
85000002513,Turning Leaf Pinot Noir,Wine
6009808940055,Arendsig Sauvignon Blanc,Wine
791930001570,Chermette Beaujolais Griottes,Wine
8421478770158,Raventos I Blanc De Nit Brut,Wine
5205243318485,Alpha Estate Xinomavro Hedgehog Vyd,Wine
892026001150,Beckstoffer Melee Grenache,Wine
5204734001042,Douloufakis Dafnios Liatiko,Wine
5204734001035,Douloufakis Dafnios Vidiano,Wine
44358070704,Montinore Borealis White Wine,Wine
44358165929,Montinore Vivace Sparkling,Wine
185983000053,Ramey RR Valley Chardonnay,Wine
5203885002816,Santo Santorini Assyrtiko,Wine
663997000172,Skouras Moscofilero,Wine
663997000264,Skouras Salto Moscofilero,Wine
663997000073,Skouras St George Nemea,Wine
663997000141,Skouras Zoe! Rose,Wine
857680001533,High Valley Cabernet Sauvignon,Wine
857680001526,High Valley Petite Sirah,Wine
857680001618,High Valley Sauvignon Blanc,Wine
857680001489,High Valley Zinfandel,Wine
688262011059,Pares Balta Indigena,Wine
3480680080009,Remizieres Syrah VDP,Wine
94922197245,Three Wine Co. Riesling,Wine
7798104763046,Amalaya Red,Wine
80232000559,Amity Pinot Noir,Wine
80232000030,Amity White Pinot Noir,Wine
850008475627,Baron of Thieves Red Blend,Wine
81308001463,Big House Birdman Pinot Grigio,Wine
81308001456,Big House Cardinal Zin,Wine
81308001449,Big House Great Escape Chard,Wine
81308000831,Big House Red,Wine
81308001432,Big House Usual Suspect Cab,Wine
81308000848,Big House White,Wine
8027185110524,Castiglion Del Bosco Drago Mag,Wine
7798104760076,Colome Estate Malbec,Wine
717888903124,Colome Torrontes,Wine
99988071188,Folie a Deux Pinot Noir,Wine
84279995915,Luccio Strawberry Moscato,Wine
99988071157,Menage A Trois Moscato,Wine
86891084800,Piper Heidsieck Brut,Wine
87236657178,Piper Heidsieck Extra Dry,Wine
8513223,Sutter Home Red Blend,Wine
23859552285,Greg Norman Shiraz,Wine
98137889988,Greg Norman Shiraz Cabernet,Wine
767749008819,Innocent Bystander Pinot Noir,Wine
855030001165,Jones of Wash Cabernet Sauvignon,Wine
855030001158,Jones of Wash Riesling,Wine
88586003493,14 Hands Riesling,Wine
86891083599,Alta Mora Etna Rosso,Wine
88586005459,Antinori Cristina Le Maestrelle,Wine
8015479151148,Avignonesi Cantaloro,Wine
89819796885,Chateau St Jean Merlot,Wine
