Store,Supplier,Item,Product Code,Store OH,WOS,Order Cases,Order Units,Unit Cost,Order $
St. Louis Park,Pepsi-Cola,Gatorlyte Glacier Freeze 20oz btl,052000054996,9,2.6,1,12,1.84,22.0
St. Louis Park,Pepsi-Cola,Schweppes Club Soda Liter,078000203455,36,2.6,2,30,1.43,43.0
St. Louis Park,Pepsi-Cola,Gatorade Cool Blue 20oz,052000324815,11,2.8,1,24,1.85,44.0
St. Louis Park,Pepsi-Cola,Pepsi Diet 2L,012000171765,4,2.9,1,8,2.44,19.0
St. Louis Park,Pepsi-Cola,Schweppes Tonic 6pk 8oz can,078000032413,3,3.2,1,4,3.93,16.0
St. Louis Park,Pepsi-Cola,Gatorade Gatorlyte Cherry Lime 20oz,052000049008,6,3.2,1,12,1.84,22.0
St. Louis Park,Pepsi-Cola,Schweppes Diet Tonic Liter,078000219456,37,3.4,1,15,1.28,19.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Zing Zang Sweet & Sour 32oz,616003112161,0,0.0,1,6,3.67,22.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Filthy Olive Brine 8oz,899682002286,1,0.2,2,24,3.54,85.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Tres Agaves Margarita Mix Liter,854125003039,6,1.3,2,24,5.76,138.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Cock n Bull Ginger Beer 4pk 12oz btl,072924012131,1,2.1,1,6,4.17,25.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary Dill Pickles 32oz,616003616232,2,2.1,1,6,3.67,22.0
St. Louis Park,Phillips Wine & Spirits - St. Paul,Zing Zang Bloody Mary Mix 32oz,616003814225,7,3.8,1,12,3.67,44.0
St. Louis Park,"True Brands, Inc.","16 oz Red Party Cups, 24 pack by True",876718030420,0,0.0,1,12,2.66,32.0
St. Louis Park,,Non-Refundable Transaction,NON-REFUNDABLE,-194,-27.7,222,222,0.0,0.0
St. Louis Park,,Tip Item,TIP,0,0.0,36,36,0.0,0.0
St. Louis Park,,Kodiak Wintergreen Long Cut,04229412,0,0.0,3,3,11.71,35.0
St. Louis Park,,Grizzly Wintergreen Pouches,04254311,0,0.0,2,2,9.52,19.0
St. Louis Park,,Charm Social Tonic Lemon Ginger 12oz can,400000025568,0,0.0,8,8,2.42,19.0
St. Louis Park,,MN Ice Shard,865839000276,0,0.0,14,14,5.7,80.0
St. Louis Park,,MN Ice Big Bag,865839000245,12,0.4,115,115,3.3,379.0
St. Louis Park,,Grizzly Wintergreen Long Cut,04287115,1,1.1,3,3,9.53,29.0
