Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
White Claw Natural Lime 6pk 12oz can,Seltzer,,147,76.4,1.9,7.67,12.99,10.96,41,,334,954,Ramsey:12;Blaine:14;Stillwater:2;Plymouth:7;Bloomington:7;Andover:8;Vadnais Heights:9;Rosemount:10;Roseville:12;Osseo:13;Cottage Grove:26;Minneapolis:32
Twisted Tea Mix Pack 12pk 12oz can,FMB,,342,75.1,4.6,13.17,19.99,15.96,34,,335,905,St. Louis Park:23;Stillwater:1;Minnetonka:2;Osseo:2;Plymouth:2;Bloomington:8;Chanhassen:16;Roseville:17;Minneapolis:21;Rosemount:22;Ramsey:33;Blaine:39;Woodbury:43;Andover:50;Cottage Grove:69
White Claw Grape 6pk 12oz can,Seltzer,"Breakthru Beverage Minnesota Beer, LLC",152,73.7,2.1,7.67,12.99,10.96,41,,324,912,Woodbury:4;Bloomington:5;Plymouth:6;Andover:7;Vadnais Heights:8;St. Louis Park:11;Roseville:15;Cottage Grove:15;Minneapolis:17;Ramsey:20;Osseo:22;Rosemount:32
Steel Toe Size 7 6pk 12oz can,Craft,,115,72.4,1.6,9.5,13.99,11.96,32,,305,955,Minnetonka:1;Plymouth:2;Ramsey:6;Woodbury:9;Chanhassen:9;St. Louis Park:9;Roseville:11;Bloomington:12;Vadnais Heights:14;Cottage Grove:15;Osseo:15;Andover:16
High Noon Variety Pack 8pk 12oz can,RTD,Johnson Brothers - St. Paul,131,72.3,1.8,17.7,24.99,21.96,29,Deep Net,322,876,Chanhassen:2;Stillwater:3;Ramsey:4;Minnetonka:5;Osseo:5;Roseville:6;Rosemount:7;Cottage Grove:7;Minneapolis:8;Blaine:9;Plymouth:13;Bloomington:15;Woodbury:23;St. Louis Park:24
Modelo Especial 6pk 12oz btl,Import,,202,72.3,2.8,7.14,11.99,10.96,40,,306,946,Minneapolis:34;Minnetonka:2;Osseo:4;St. Louis Park:4;Chanhassen:5;Plymouth:6;Woodbury:7;Bloomington:10;Blaine:15;Rosemount:17;Roseville:18;Andover:19;Cottage Grove:19;Ramsey:23;Stillwater:23
Coors Light 9pk 16oz can,Premium,Dahlheimer Beverage Monticello,171,71.0,2.4,11.21,14.99,13.96,25,,307,900,Minnetonka:2;Ramsey:2;Bloomington:3;Roseville:5;Stillwater:7;Cottage Grove:7;Vadnais Heights:10;Rosemount:15;Minneapolis:20;Plymouth:20;Osseo:21;Andover:27;Blaine:34
Cutwater Long Island Iced Tea 4pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",345,70.5,4.9,9.89,15.99,11.96,38,,325,802,Stillwater:5;Chanhassen:5;Plymouth:10;Minnetonka:11;Blaine:14;Rosemount:15;Roseville:15;Woodbury:16;Cottage Grove:21;Bloomington:27;St. Louis Park:30;Vadnais Heights:37;Minneapolis:40;Andover:42;Ramsey:51
Leinenkugel's Summer Shandy 12pk 12oz btl,Craft,Dahlheimer Beverage Monticello,176,69.8,2.5,13.2,19.99,16.96,34,,305,870,Stillwater:2;Minnetonka:4;Osseo:5;St. Louis Park:5;Woodbury:5;Andover:5;Plymouth:8;Vadnais Heights:8;Chanhassen:13;Bloomington:14;Roseville:14;Blaine:17;Rosemount:18;Ramsey:28;Minneapolis:33
Pacifico 12pk 12oz btl,Import,,297,69.1,4.3,13.31,17.99,15.96,26,,308,835,Ramsey:3;Minnetonka:3;Stillwater:7;Roseville:8;Vadnais Heights:9;Andover:9;Plymouth:13;Osseo:13;Chanhassen:17;Rosemount:20;Bloomington:23;Blaine:23;Woodbury:24;Cottage Grove:27;St. Louis Park:28;Minneapolis:70
Cutwater Mango Margarita 4pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",279,68.2,4.1,9.86,17.49,11.96,44,,295,865,Minnetonka:6;Vadnais Heights:8;Andover:8;Blaine:12;Rosemount:14;Osseo:14;Woodbury:15;Roseville:15;Cottage Grove:15;St. Louis Park:18;Plymouth:19;Bloomington:25;Minneapolis:41;Ramsey:63
Michelob Ultra 12pk 12oz btl,Super Premium,,269,68.2,3.9,12.18,14.99,12.96,19,,313,783,Minnetonka:6;Ramsey:13;St. Louis Park:16;Vadnais Heights:16;Minneapolis:16;Andover:17;Roseville:19;Plymouth:19;Chanhassen:21;Osseo:22;Blaine:38;Stillwater:8;Rosemount:9;Woodbury:20;Cottage Grove:31
Summit Extra Pale Ale 12pk 12oz can,Craft,,368,68.2,5.4,13.26,19.99,16.96,34,,287,900,Stillwater:1;Minnetonka:3;Minneapolis:3;Vadnais Heights:11;Osseo:17;Rosemount:18;Ramsey:26;Roseville:26;Bloomington:29;Woodbury:43;Blaine:43;Chanhassen:52;Plymouth:7;Cottage Grove:43;Andover:46
Miller Lite 6pk 16oz can,Premium,Bernicks,236,67.7,3.5,5.37,8.99,7.96,40,,288,881,Chanhassen:4;Woodbury:7;Minnetonka:8;Plymouth:8;Roseville:9;Vadnais Heights:14;Stillwater:14;Blaine:16;Bloomington:19;Rosemount:21;Cottage Grove:23;Ramsey:27;Osseo:31;Minneapolis:42
Stella Artois 12pk 11oz btl,Import,,437,67.0,6.5,12.44,18.99,15.96,35,,298,814,Andover:18;Cottage Grove:19;Blaine:33;Minneapolis:64;Stillwater:1;St. Louis Park:9;Osseo:10;Chanhassen:12;Rosemount:20;Roseville:32;Woodbury:36;Plymouth:45;Vadnais Heights:51;Ramsey:92
Coors Light 24oz can,Single Serve,,181,66.6,2.7,2.28,3.99,,43,,304,774,Vadnais Heights:6;Osseo:7;Plymouth:9;Stillwater:3;St. Louis Park:4;Blaine:4;Rosemount:9;Woodbury:11;Chanhassen:13;Roseville:15;Ramsey:15;Bloomington:16;Cottage Grove:29;Minneapolis:40
Cutwater White Russian 4pk 12oz can,RTD,"Capitol Beverage Sales, L.P.",504,66.6,7.6,9.88,17.49,11.96,43,,291,832,Osseo:4;Minnetonka:5;Woodbury:12;Chanhassen:15;Rosemount:17;Roseville:22;Minneapolis:24;Blaine:29;Cottage Grove:30;St. Louis Park:33;Bloomington:34;Ramsey:42;Vadnais Heights:60;Plymouth:64;Andover:109
Twisted Tea Light Variety Pack 12pk 12oz can,FMB,,291,66.4,4.4,13.32,19.99,15.96,33,,307,754,Plymouth:6;Osseo:14;Andover:24;Ramsey:26;Blaine:31;Cottage Grove:41;Stillwater:1;St. Louis Park:2;Vadnais Heights:6;Bloomington:10;Chanhassen:12;Roseville:15;Rosemount:17;Woodbury:23;Minneapolis:63
