Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Club Price,Margin %,Deal,30D Units,90D Units,By Store OH
Jameson Irish Whiskey 1.75L,Whisky/Whiskey,Southern Glazer's Wine & Spirits of MN,773,102.1,7.6,33.4,47.99,36.96,30,,426,1364,Minneapolis:9;Stillwater:14;Ramsey:18;Osseo:23;Cottage Grove:26;Plymouth:29;Roseville:30;Minnetonka:41;Bloomington:42;St. Louis Park:43;Woodbury:48;Rosemount:66;Andover:67;Chanhassen:71;Vadnais Heights:100;Blaine:146
Smirnoff Pink Lemonade 50ml,Vodka,Johnson Brothers - St. Paul,918,101.0,9.1,0.67,1.49,1.24,55,Case 1,422,1346,Blaine:6;St. Louis Park:6;Cottage Grove:6;Vadnais Heights:7;Ramsey:7;Chanhassen:20;Osseo:34;Roseville:39;Rosemount:55;Minnetonka:70;Woodbury:82;Plymouth:96;Andover:105;Stillwater:114;Minneapolis:120;Bloomington:151
Windsor Canadian 50ml,Whisky/Whiskey,Phillips Wine & Spirits - St. Paul,1155,100.6,11.5,0.68,1.49,1.24,54,Case 1,421,1339,Plymouth:9;Osseo:10;Andover:12;St. Louis Park:20;Woodbury:40;Minnetonka:50;Rosemount:65;Chanhassen:66;Cottage Grove:82;Bloomington:95;Vadnais Heights:116;Minneapolis:119;Stillwater:120;Blaine:131;Ramsey:220
Bacardi Limon Rum 50ml,Rum,Southern Glazer's Wine & Spirits of MN,538,97.5,5.5,0.84,1.49,1.24,44,,330,1650,Roseville:3;Chanhassen:12;Bloomington:33;Minnetonka:54;St. Louis Park:113;Plymouth:122;Andover:201
Ketel One Vodka 1.75L,Vodka,Bellboy Corporation,488,97.3,5.0,25.62,34.99,29.96,27,16cs  across chain- same week,410,1282,Minneapolis:3;Ramsey:10;Vadnais Heights:13;Minnetonka:14;Stillwater:14;Plymouth:16;Andover:24;Rosemount:28;Osseo:33;Bloomington:36;Woodbury:38;St. Louis Park:39;Roseville:51;Cottage Grove:54;Chanhassen:57;Blaine:58
Dr McGillicuddys Mentholmint 50ml,Schnapps,"Breakthru Beverage Minnesota Wine & Spirits, LLC",1248,97.1,12.8,0.6,1.49,1.24,60,"150cs 50ml purchase in a month (Buffalo Trace Cream, Canadian Mist, Dr Mcgil, Fireball, Goldschlager, Hartley Brandy, Margaritaville, Parrot Bay, Platinum 7x, R&R, Scoresby, Sheep Dog, SoCo, Taaka, Traveller, Wheately, Yukon Jack)",408,1286,Minnetonka:2;Andover:8;Plymouth:28;Osseo:30;Chanhassen:66;Cottage Grove:69;Rosemount:81;Bloomington:82;Roseville:90;Ramsey:96;Minneapolis:101;Vadnais Heights:104;Blaine:115;Woodbury:123;Stillwater:253
Tito's Vodka 375ml,Vodka,Johnson Brothers - St. Paul,187,95.5,2.0,9.08,14.99,12.96,39,3cs  across chain same week,406,1242,Woodbury:2;Chanhassen:4;Minnetonka:5;Osseo:8;Ramsey:9;Vadnais Heights:9;Roseville:10;Plymouth:11;Stillwater:13;Rosemount:13;Blaine:13;Cottage Grove:14;Andover:16;Bloomington:18;Minneapolis:18;St. Louis Park:24
Jim Beam Bourbon 1.75L,Whisky/Whiskey,Southern Glazer's Wine & Spirits of MN,862,91.4,9.4,24.83,30.49,25.96,19,25cs across chain same week,384,1211,Chanhassen:5;Minnetonka:11;Woodbury:29;Plymouth:30;Minneapolis:32;Roseville:32;Stillwater:34;Bloomington:38;St. Louis Park:42;Cottage Grove:56;Ramsey:67;Osseo:72;Andover:75;Vadnais Heights:77;Blaine:116;Rosemount:146
Smirnoff Vodka 375ml,Vodka,Johnson Brothers - St. Paul,257,91.3,2.8,4.06,8.99,7.96,55,Case 1,402,1126,Blaine:1;Bloomington:6;Osseo:7;St. Louis Park:9;Minnetonka:13;Vadnais Heights:13;Roseville:18;Andover:19;Plymouth:21;Stillwater:22;Woodbury:22;Minneapolis:23;Cottage Grove:24;Rosemount:26;Chanhassen:33
Kinky Red 50ml,Cordials,Johnson Brothers - St. Paul,987,87.4,11.3,0.51,1.49,1.24,66,1 free on 3. Kinky Pink 50ml as Free Good,355,1211,Blaine:3;Vadnais Heights:44;Stillwater:69;Roseville:72;Rosemount:83;Cottage Grove:93;Minneapolis:94;St. Louis Park:98;Andover:106;Woodbury:123;Bloomington:202
New Amsterdam Grapefruit Vodka 50ml,Vodka,Johnson Brothers - St. Paul,403,85.6,4.7,0.68,1.49,1.24,54,12 Sleeves of 10,380,1041,Ramsey:36;Blaine:53;Bloomington:72;Minneapolis:109;Rosemount:133
TLC Vodka 50ml,Vodka,"Maverick Beverage Co., LLC - MN",786,85.4,9.2,0.69,1.49,1.24,54,1 on 3 solid 50ml TLC Vodka,355,1147,Blaine:18;Plymouth:22;Bloomington:23;Cottage Grove:35;Chanhassen:37;Woodbury:41;Roseville:60;Minneapolis:61;Osseo:65;St. Louis Park:66;Minnetonka:68;Rosemount:70;Stillwater:72;Ramsey:73;Andover:75
American Frontier Vodka 750ml,Vodka,Bellboy Corporation,699,84.4,8.3,3.58,5.49,4.96,35,CASE 1,352,1130,Ramsey:5;Andover:18;Plymouth:21;Cottage Grove:23;Stillwater:25;Rosemount:29;Osseo:37;Minnetonka:38;Chanhassen:43;St. Louis Park:79;Woodbury:83;Roseville:148;Vadnais Heights:150
