Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Tia Maria,050037597172,Liquor,750ml,12,Disaronno International,Bellboy Corporation,,ALL,19.25,231,230,24.99,26.96,0.2859792284866469,230,2026-03-01 00:00:00,,230,,7199914,231,19.25,31.99,30.99,0,0.3,,,,,,,,3,Bellboy Corporation,
Casamigos Anejo Tequila,856724006015,Liquor,750 ml,6,Diageo,Bellboy Corporation,Case 1,All,39.333333333333336,236,250,53.99,48.96,0.1966230936819172,235,2026-03-01 00:00:00,,235,,8495004,236,39.333333333333336,58.99,58.99,49.96,0.3,,,,,,,,49,Bellboy Corporation,
Casamigos Blanco Tequila,083089450003,Liquor,750 ml,6,Diageo,Bellboy Corporation,Case 1,ALL,30.166666666666668,181,185,39.99,37.96,0.20530382859149982,180,2026-03-01 00:00:00,,180,,8495014,181,30.166666666666668,45.99,43.99,35.96,0.3,,,,,,,,117,Bellboy Corporation,
Casamigos Reposado Tequila,856724006213,Liquor,750 ml,6,Diageo,Bellboy Corporation,Case 1,ALL,36.5,219,226,48.99,45.96,0.20583115752828549,218,2026-03-01 00:00:00,,218,,8495024,219,36.5,54.99,52.99,39.96,0.3,,,,,,,,80,Bellboy Corporation,
Tito's Vodka,619947000051,Liquor,375ml,12,Fifth Generation Inc.,Bellboy Corporation,3cs across chain - same week,Febuary,9.333333333333334,112,116,14.99,12.96,0.27983539094650206,111,2026-03-01 00:00:00,,116,,8574002,112,9.333333333333334,15.99,14.99,12.96,0.5,,,,,,,,156,Bellboy Corporation,
Tito's Vodka,619947000037,Liquor,1.75L,6,Fifth Generation Inc.,Bellboy Corporation,25cs across chain - same week,Febuary,26,156,169,36.99,28.96,0.10220994475138125,155,2026-03-01 00:00:00,This beats Johnson,169,,8574009,156,26,34.99,33.99,27.96,0.3,,,,,,,,1494,Bellboy Corporation,
Tito's Vodka,619947000020,Liquor,750ml,12,Fifth Generation Inc.,Bellboy Corporation,3cs across chain - same week,Febuary,16.5,198,202,21.99,17.96,0.08129175946547888,197,2026-03-01 00:00:00,,202,,202,198,16.5,21.99,19.99,17.96,0.3,,,,,,,,368,Bellboy Corporation,
Tito's Vodka,619947000013,Liquor,Liter,12,Fifth Generation Inc.,Bellboy Corporation,5cs across chain - same week,Febuary,18.416666666666668,221,225,23.99,21.96,0.1613539769277474,220,2026-03-01 00:00:00,,225,,8574005,221,18.416666666666668,25.99,24.99,19.96,0.3,,,,,,,,424,Bellboy Corporation,
Fireball ,088004144722,Liquor,375ml,24,Sazerac,Bellboy Corporation,1 cs  375ml  free on every 10 cs 375's purchased - accum monthly,ALL,5.193181818181818,124.63636363636364,151.5,8.99,6.96,0.2538531870428422,136,2026-03-01 00:00:00,,136,,8366112,124.63636363636364,5.193181818181818,7.99,8.99,7.96,0.5,,,,,,,,334,Bellboy Corporation,
Fireball,088004009373,Liquor,100ml,48,Sazerac,Bellboy Corporation,1 cs  100 ml free on every 20 cs 100's purchased - accum monthly,ALL,1.2361111111111112,59.333333333333336,61.25,1.99,1.96,0.36933106575963714,61.25,2026-03-01 00:00:00,,61.25,,8366100,59.333333333333336,1.2361111111111112,1.99,2.29,1.96,0.5,,,,,,,,2129,Bellboy Corporation,
